Frequence = 40 Ghz;
N = 6894;
1.
1   X = 6 mm; Y = 6.3 mm; Amplitude = 0.00402676; Faza = 139.527 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1597   X = 406.8 mm; Y = 36.9 mm; Amplitude = 1.21802e-07; Faza = -105.73 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1598   X = 406.8 mm; Y = 36.9 mm; Amplitude = 5.98752e-08; Faza = -160.359 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1599   X = 406.8 mm; Y = 36.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1600   X = 406.8 mm; Y = 37.5 mm; Amplitude = 1.09074e-07; Faza = -104.395 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1601   X = 406.8 mm; Y = 37.5 mm; Amplitude = 5.14659e-08; Faza = -162.694 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1602   X = 406.8 mm; Y = 37.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1603   X = 406.8 mm; Y = 38.1 mm; Amplitude = 9.51062e-08; Faza = -103.983 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1604   X = 406.8 mm; Y = 38.1 mm; Amplitude = 4.32083e-08; Faza = -167.794 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1605   X = 406.8 mm; Y = 38.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1606   X = 406.8 mm; Y = 38.7 mm; Amplitude = 8.06795e-08; Faza = -104.583 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1607   X = 406.8 mm; Y = 38.7 mm; Amplitude = 3.58801e-08; Faza = -176.161 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1608   X = 406.8 mm; Y = 38.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1609   X = 406.8 mm; Y = 39.3 mm; Amplitude = 6.65761e-08; Faza = -107.032 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1610   X = 406.8 mm; Y = 39.3 mm; Amplitude = 3.03249e-08; Faza = -187.831 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1611   X = 406.8 mm; Y = 39.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1612   X = 406.8 mm; Y = 39.9 mm; Amplitude = 5.40011e-08; Faza = -112.52 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1613   X = 406.8 mm; Y = 39.9 mm; Amplitude = 2.67401e-08; Faza = -200.265 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1614   X = 406.8 mm; Y = 39.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1615   X = 406.8 mm; Y = 40.5 mm; Amplitude = 0; Faza = -120.373 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1616   X = 406.8 mm; Y = 40.5 mm; Amplitude = 0; Faza = -212.052 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1617   X = 406.8 mm; Y = 40.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1618   X = 406.8 mm; Y = 41.1 mm; Amplitude = 0; Faza = -130.206 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1619   X = 406.8 mm; Y = 41.1 mm; Amplitude = 0; Faza = -223.69 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1620   X = 406.8 mm; Y = 41.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1621   X = 406.8 mm; Y = 41.7 mm; Amplitude = 0; Faza = -141.882 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1622   X = 406.8 mm; Y = 41.7 mm; Amplitude = 0; Faza = -233.384 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1623   X = 406.8 mm; Y = 41.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1624   X = 406.8 mm; Y = 42.3 mm; Amplitude = 1.92549e-08; Faza = -153.289 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1625   X = 406.8 mm; Y = 42.3 mm; Amplitude = 2.00484e-08; Faza = -241.997 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1626   X = 406.8 mm; Y = 42.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1627   X = 406.8 mm; Y = 42.9 mm; Amplitude = 1.05016e-08; Faza = -169.896 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1628   X = 406.8 mm; Y = 42.9 mm; Amplitude = 1.76996e-08; Faza = -251.288 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1629   X = 406.8 mm; Y = 42.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1630   X = 406.8 mm; Y = 43.5 mm; Amplitude = 4.68068e-09; Faza = 118.886 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1631   X = 406.8 mm; Y = 43.5 mm; Amplitude = 1.48081e-08; Faza = -261.929 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1632   X = 406.8 mm; Y = 43.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1633   X = 406.8 mm; Y = 44.1 mm; Amplitude = 1.19699e-08; Faza = 52.2286 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1634   X = 406.8 mm; Y = 44.1 mm; Amplitude = 1.15879e-08; Faza = 83.2006 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1635   X = 406.8 mm; Y = 44.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1636   X = 406.8 mm; Y = 44.7 mm; Amplitude = 2.29153e-08; Faza = 40.5415 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1637   X = 406.8 mm; Y = 44.7 mm; Amplitude = 9.66395e-09; Faza = 60.8533 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1638   X = 406.8 mm; Y = 44.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1639   X = 406.8 mm; Y = 45.3 mm; Amplitude = 3.37214e-08; Faza = 37.5146 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1640   X = 406.8 mm; Y = 45.3 mm; Amplitude = 9.64065e-09; Faza = 35.9341 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1641   X = 406.8 mm; Y = 45.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1642   X = 406.8 mm; Y = 45.9 mm; Amplitude = 4.40719e-08; Faza = 36.8203 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1643   X = 406.8 mm; Y = 45.9 mm; Amplitude = 1.10979e-08; Faza = 14.8885 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1644   X = 406.8 mm; Y = 45.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1645   X = 406.8 mm; Y = 46.5 mm; Amplitude = 5.28895e-08; Faza = 37.8101 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1646   X = 406.8 mm; Y = 46.5 mm; Amplitude = 1.33277e-08; Faza = 2.63333 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1647   X = 406.8 mm; Y = 46.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1648   X = 406.8 mm; Y = 47.1 mm; Amplitude = 5.92696e-08; Faza = 40.1861 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1649   X = 406.8 mm; Y = 47.1 mm; Amplitude = 1.54401e-08; Faza = -3.96323 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1650   X = 406.8 mm; Y = 47.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1651   X = 406.8 mm; Y = 47.7 mm; Amplitude = 6.30109e-08; Faza = 43.6392 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1652   X = 406.8 mm; Y = 47.7 mm; Amplitude = 1.69116e-08; Faza = -4.9824 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1653   X = 406.8 mm; Y = 47.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1654   X = 406.8 mm; Y = 48.3 mm; Amplitude = 6.42871e-08; Faza = 48.0127 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1655   X = 406.8 mm; Y = 48.3 mm; Amplitude = 1.7648e-08; Faza = -1.16957 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1656   X = 406.8 mm; Y = 48.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1657   X = 406.8 mm; Y = 48.9 mm; Amplitude = 6.25269e-08; Faza = 53.7945 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1658   X = 406.8 mm; Y = 48.9 mm; Amplitude = 1.78198e-08; Faza = 5.42926 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1659   X = 406.8 mm; Y = 48.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1660   X = 406.8 mm; Y = 49.5 mm; Amplitude = 5.82077e-08; Faza = 60.7875 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1661   X = 406.8 mm; Y = 49.5 mm; Amplitude = 1.7379e-08; Faza = 11.7712 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1662   X = 406.8 mm; Y = 49.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1663   X = 406.8 mm; Y = 50.1 mm; Amplitude = 5.15207e-08; Faza = 70.0373 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1664   X = 406.8 mm; Y = 50.1 mm; Amplitude = 1.61755e-08; Faza = 17.9651 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1665   X = 406.8 mm; Y = 50.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1666   X = 406.8 mm; Y = 50.7 mm; Amplitude = 4.31532e-08; Faza = 83.6174 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1667   X = 406.8 mm; Y = 50.7 mm; Amplitude = 1.39651e-08; Faza = 25.9221 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1668   X = 406.8 mm; Y = 50.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1669   X = 406.8 mm; Y = 51.3 mm; Amplitude = 3.53081e-08; Faza = 103.64 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1670   X = 406.8 mm; Y = 51.3 mm; Amplitude = 1.06513e-08; Faza = 35.4975 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1671   X = 406.8 mm; Y = 51.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1672   X = 406.8 mm; Y = 51.9 mm; Amplitude = 3.08108e-08; Faza = 132.393 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1673   X = 406.8 mm; Y = 51.9 mm; Amplitude = 6.76449e-09; Faza = 51.7249 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1674   X = 406.8 mm; Y = 51.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1675   X = 406.8 mm; Y = 52.5 mm; Amplitude = 3.14668e-08; Faza = 163.953 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1676   X = 406.8 mm; Y = 52.5 mm; Amplitude = 3.3856e-09; Faza = -260.048 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1677   X = 406.8 mm; Y = 52.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1678   X = 406.8 mm; Y = 53.1 mm; Amplitude = 3.7429e-08; Faza = -168.97 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1679   X = 406.8 mm; Y = 53.1 mm; Amplitude = 5.54263e-09; Faza = -176.753 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1680   X = 406.8 mm; Y = 53.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1681   X = 406.8 mm; Y = 53.7 mm; Amplitude = 4.60699e-08; Faza = -148.124 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1682   X = 406.8 mm; Y = 53.7 mm; Amplitude = 1.18058e-08; Faza = -149.548 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1683   X = 406.8 mm; Y = 53.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1684   X = 406.8 mm; Y = 54.3 mm; Amplitude = 5.51555e-08; Faza = -131.368 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1685   X = 406.8 mm; Y = 54.3 mm; Amplitude = 1.83851e-08; Faza = -140.337 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1686   X = 406.8 mm; Y = 54.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1687   X = 406.8 mm; Y = 54.9 mm; Amplitude = 6.46031e-08; Faza = -117.536 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1688   X = 406.8 mm; Y = 54.9 mm; Amplitude = 2.50153e-08; Faza = -134.629 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1689   X = 406.8 mm; Y = 54.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1690   X = 406.8 mm; Y = 55.5 mm; Amplitude = 7.37344e-08; Faza = -105.367 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1691   X = 406.8 mm; Y = 55.5 mm; Amplitude = 3.20829e-08; Faza = -128.212 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1692   X = 406.8 mm; Y = 55.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1693   X = 406.8 mm; Y = 56.1 mm; Amplitude = 8.17927e-08; Faza = -93.7204 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1694   X = 406.8 mm; Y = 56.1 mm; Amplitude = 3.77512e-08; Faza = -123.471 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1695   X = 406.8 mm; Y = 56.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1696   X = 406.8 mm; Y = 56.7 mm; Amplitude = 8.85194e-08; Faza = -82.9999 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1697   X = 406.8 mm; Y = 56.7 mm; Amplitude = 4.16916e-08; Faza = -120.092 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1698   X = 406.8 mm; Y = 56.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1699   X = 406.8 mm; Y = 57.3 mm; Amplitude = 9.35032e-08; Faza = -73.2449 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1700   X = 406.8 mm; Y = 57.3 mm; Amplitude = 4.4123e-08; Faza = -116.547 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1701   X = 406.8 mm; Y = 57.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1702   X = 406.8 mm; Y = 57.9 mm; Amplitude = 9.74699e-08; Faza = -62.4162 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1703   X = 406.8 mm; Y = 57.9 mm; Amplitude = 4.41075e-08; Faza = -112.69 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1704   X = 406.8 mm; Y = 57.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1705   X = 406.8 mm; Y = 58.5 mm; Amplitude = 9.96676e-08; Faza = -51.8071 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1706   X = 406.8 mm; Y = 58.5 mm; Amplitude = 4.22086e-08; Faza = -108.21 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1707   X = 406.8 mm; Y = 58.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1708   X = 406.8 mm; Y = 59.1 mm; Amplitude = 1.00168e-07; Faza = -41.5217 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1709   X = 406.8 mm; Y = 59.1 mm; Amplitude = 4.09221e-08; Faza = -102.033 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1710   X = 406.8 mm; Y = 59.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1711   X = 406.8 mm; Y = 59.7 mm; Amplitude = 1.00046e-07; Faza = -30.6944 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1712   X = 406.8 mm; Y = 59.7 mm; Amplitude = 3.90438e-08; Faza = -94.7498 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1713   X = 406.8 mm; Y = 59.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1714   X = 406.8 mm; Y = 60.3 mm; Amplitude = 9.77618e-08; Faza = -19.7401 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1715   X = 406.8 mm; Y = 60.3 mm; Amplitude = 3.5344e-08; Faza = -86.7057 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1716   X = 406.8 mm; Y = 60.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1717   X = 406.8 mm; Y = 60.9 mm; Amplitude = 9.4248e-08; Faza = -8.22431 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1718   X = 406.8 mm; Y = 60.9 mm; Amplitude = 3.1733e-08; Faza = -76.9886 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1719   X = 406.8 mm; Y = 60.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1720   X = 406.8 mm; Y = 61.5 mm; Amplitude = 9.0548e-08; Faza = 4.10483 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1721   X = 406.8 mm; Y = 61.5 mm; Amplitude = 2.7798e-08; Faza = -64.447 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1722   X = 406.8 mm; Y = 61.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1723   X = 406.8 mm; Y = 62.1 mm; Amplitude = 8.74904e-08; Faza = 17.1256 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1724   X = 406.8 mm; Y = 62.1 mm; Amplitude = 2.40691e-08; Faza = -48.2299 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1725   X = 406.8 mm; Y = 62.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1726   X = 406.8 mm; Y = 62.7 mm; Amplitude = 8.46514e-08; Faza = 30.8175 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1727   X = 406.8 mm; Y = 62.7 mm; Amplitude = 2.1802e-08; Faza = -28.6402 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1728   X = 406.8 mm; Y = 62.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1729   X = 406.8 mm; Y = 63.3 mm; Amplitude = 8.28372e-08; Faza = 44.6488 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1730   X = 406.8 mm; Y = 63.3 mm; Amplitude = 2.13358e-08; Faza = -6.41231 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1731   X = 406.8 mm; Y = 63.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1732   X = 406.8 mm; Y = 63.9 mm; Amplitude = 8.19523e-08; Faza = 58.247 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1733   X = 406.8 mm; Y = 63.9 mm; Amplitude = 2.30866e-08; Faza = 15.6392 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1734   X = 406.8 mm; Y = 63.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1735   X = 406.8 mm; Y = 64.5 mm; Amplitude = 8.12437e-08; Faza = 71.9054 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1736   X = 406.8 mm; Y = 64.5 mm; Amplitude = 2.66953e-08; Faza = 33.5349 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1737   X = 406.8 mm; Y = 64.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1738   X = 406.8 mm; Y = 65.1 mm; Amplitude = 8.08142e-08; Faza = 84.8148 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1739   X = 406.8 mm; Y = 65.1 mm; Amplitude = 3.10097e-08; Faza = 46.5995 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1740   X = 406.8 mm; Y = 65.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1741   X = 406.8 mm; Y = 65.7 mm; Amplitude = 8.01898e-08; Faza = 97.5776 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1742   X = 406.8 mm; Y = 65.7 mm; Amplitude = 3.4899e-08; Faza = 56.6007 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1743   X = 406.8 mm; Y = 65.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1744   X = 406.8 mm; Y = 66.3 mm; Amplitude = 7.93701e-08; Faza = 110.159 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1745   X = 406.8 mm; Y = 66.3 mm; Amplitude = 3.68598e-08; Faza = 64.2645 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1746   X = 406.8 mm; Y = 66.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1747   X = 406.8 mm; Y = 66.9 mm; Amplitude = 7.87805e-08; Faza = 123.163 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1748   X = 406.8 mm; Y = 66.9 mm; Amplitude = 3.76282e-08; Faza = 71.5498 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1749   X = 406.8 mm; Y = 66.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1750   X = 406.8 mm; Y = 67.5 mm; Amplitude = 7.84587e-08; Faza = 136.098 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1751   X = 406.8 mm; Y = 67.5 mm; Amplitude = 3.82421e-08; Faza = 79.3771 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1752   X = 406.8 mm; Y = 67.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1753   X = 406.8 mm; Y = 68.1 mm; Amplitude = 7.80797e-08; Faza = 148.597 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1754   X = 406.8 mm; Y = 68.1 mm; Amplitude = 3.83414e-08; Faza = 87.177 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1755   X = 406.8 mm; Y = 68.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1756   X = 406.8 mm; Y = 68.7 mm; Amplitude = 7.7787e-08; Faza = 161.063 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1757   X = 406.8 mm; Y = 68.7 mm; Amplitude = 3.71075e-08; Faza = -265.147 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1758   X = 406.8 mm; Y = 68.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1759   X = 406.8 mm; Y = 69.3 mm; Amplitude = 7.72919e-08; Faza = 173.379 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1760   X = 406.8 mm; Y = 69.3 mm; Amplitude = 3.4833e-08; Faza = -256.619 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1761   X = 406.8 mm; Y = 69.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1762   X = 406.8 mm; Y = 69.9 mm; Amplitude = 7.77506e-08; Faza = -174.481 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1763   X = 406.8 mm; Y = 69.9 mm; Amplitude = 3.25879e-08; Faza = -246.437 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1764   X = 406.8 mm; Y = 69.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1765   X = 406.8 mm; Y = 70.5 mm; Amplitude = 7.79447e-08; Faza = -162.709 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
1766   X = 406.8 mm; Y = 70.5 mm; Amplitude = 3.04209e-08; Faza = -234.957 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
1767   X = 406.8 mm; Y = 70.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
1768   X = 406.8 mm; Y = 71.1 mm; Amplitude = 7.8051e-08; Faza = -151.36 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
